_id,id,name,start_duration,end_duration,start_registration,end_registration,credits_count,activity_type,location,location_kotakab_code,participants_count,mitra_id,certified,logo,mitra_name,published_time
6659488a8dba1a49d4465919,e50b4181-fd55-11ee-a017-d2c25b016c0f,Smart Branding For Sustainability Tourism,2024-08-06,2024-12-20,2024-04-16,2024-06-10,20,ONLINE,Kota Jakarta Selatan,016300,0,1d463f4f-bcd8-4125-87a9-e0c00f5328dc,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53530d4e-b597-4989-ba93-d03aeb8da921.png,Citiasia Inc.,2024-05-15T20:48:00Z
6659488a8dba1a49d446591a,09fb6eab-f24a-11ee-b227-5a5e7a11ce1c,QHSE SPECIALIST ( Ahli K3 Umum),2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Bandung,026000,0,baf2ca47-35cb-4416-98f0-a9990598a314,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b22144f-d55b-48c8-b72f-827482b1930a.png,AGAVINOVATION: Agriculture &  Food Tech. R&D  company,2024-05-15T20:30:00Z
6659488a8dba1a49d446591b,3be2ea57-f19f-11ee-b227-5a5e7a11ce1c,FOOD SAFETY SPECIALIST,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Bandung,026000,0,baf2ca47-35cb-4416-98f0-a9990598a314,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b22144f-d55b-48c8-b72f-827482b1930a.png,AGAVINOVATION: Agriculture &  Food Tech. R&D  company,2024-05-15T20:30:00Z
6659488a8dba1a49d446591c,46ba00ed-f19a-11ee-b227-5a5e7a11ce1c,FUTURE FOOD RESEARCH & DEVELOPMENT,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Bandung,026000,0,baf2ca47-35cb-4416-98f0-a9990598a314,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b22144f-d55b-48c8-b72f-827482b1930a.png,AGAVINOVATION: Agriculture &  Food Tech. R&D  company,2024-05-15T20:30:00Z
6659488a8dba1a49d446591d,82e7e792-e4e2-11ee-be9f-1a40d0052568,Internet Of Things (IoT) Untuk Smart Farming,2024-08-06,2024-12-31,2024-04-16,2024-06-10,20,ONLINE,Kota Malang,056100,0,816872e8-bfc3-48ae-a3ea-f7c8018a9afe,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_5b49ac6c-35f1-4aba-a575-44683b6128f6.png,Arkatama,2024-05-15T20:30:00Z
6659488a8dba1a49d446591e,fb89c939-e4e2-11ee-be9f-1a40d0052568, Pemrograman Web E-commerce,2024-08-06,2024-12-31,2024-04-16,2024-06-10,20,ONLINE,Kota Malang,056100,0,816872e8-bfc3-48ae-a3ea-f7c8018a9afe,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_5b49ac6c-35f1-4aba-a575-44683b6128f6.png,Arkatama,2024-05-15T20:30:00Z
6659488a8dba1a49d446591f,f5612021-e4e1-11ee-be9f-1a40d0052568,Digital Marketing Untuk Bisnis,2024-08-06,2024-12-31,2024-04-16,2024-06-10,20,ONLINE,Kota Malang,056100,0,816872e8-bfc3-48ae-a3ea-f7c8018a9afe,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_5b49ac6c-35f1-4aba-a575-44683b6128f6.png,Arkatama,2024-05-15T20:30:00Z
6659488a8dba1a49d4465920,77918e21-facc-11ee-b227-5a5e7a11ce1c,Full Stack Web Development,2024-08-06,2024-12-20,2024-05-15,2024-06-10,20,ONLINE,Kota Jakarta Selatan,016300,0,77cde2f6-fa33-4932-8847-83b3414b1877,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_47596fd8-2b46-4ad8-8a00-392d7c8107a2.png,VOCASIA,2024-05-15T20:25:00Z
6659488a8dba1a49d4465921,96e5475f-facf-11ee-b227-5a5e7a11ce1c,Alibaba Cloud Academy Certification: Full Stack Cloud Engineer,2024-08-06,2024-12-20,2024-05-15,2024-06-10,20,ONLINE,Kota Jakarta Selatan,016300,0,77cde2f6-fa33-4932-8847-83b3414b1877,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_47596fd8-2b46-4ad8-8a00-392d7c8107a2.png,VOCASIA,2024-05-15T20:25:00Z
6659488a8dba1a49d4465922,0be37b14-d6b6-11ee-8afc-de20c4ed444c,Studi Independen Global Digital Talent Entrepreneur,2024-07-01,2024-12-31,2024-03-01,2024-06-30,20,ONLINE,Kota Tangerang,286100,0,54d86ad6-09b2-43e3-9305-57afc539ebc3,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d522fb46-8aa3-4772-a4b1-06bd125a9cd9.png,GETI,2024-05-15T20:20:00Z
